gender,category
female,economics
female,economics
female,peace
female,chemistry
female,medicine
female,medicine
female,peace
female,literature
female,literature
female,literature
female,peace
female,literature
female,literature
female,literature
female,literature
female,chemistry
female,medicine
female,medicine
female,medicine
female,physics
female,medicine
female,medicine
female,medicine
female,medicine
female,medicine
female,medicine
female,medicine
female,peace
female,peace
female,peace
female,peace
female,peace
female,literature
female,chemistry
female,peace
female,physics
female,chemistry
female,literature
female,literature
female,literature
female,literature
female,literature
female,literature
female,peace
female,peace
female,peace
female,peace
female,peace
female,peace
female,peace
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,economics
male,economics
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,literature
male,economics
male,literature
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,literature
male,physics
male,chemistry
male,literature
male,literature
male,economics
male,literature
male,chemistry
male,physics
male,physics
male,physics
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,economics
male,chemistry
male,physics
male,physics
male,economics
male,peace
male,physics
male,literature
male,chemistry
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,economics
male,chemistry
male,physics
male,chemistry
male,physics
male,economics
male,economics
male,chemistry
male,physics
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,economics
male,chemistry
male,medicine
male,medicine
male,physics
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,chemistry
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,literature
male,literature
male,literature
male,economics
male,peace
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,physics
male,literature
male,literature
male,literature
male,peace
male,literature
male,literature
male,physics
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,medicine
male,chemistry
male,chemistry
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,physics
male,peace
male,peace
male,literature
male,literature
male,literature
male,literature
male,chemistry
male,physics
male,physics
male,chemistry
male,literature
male,literature
male,literature
male,literature
male,physics
male,chemistry
male,literature
male,physics
male,economics
male,economics
male,economics
male,physics
male,physics
male,literature
male,literature
male,literature
male,physics
male,physics
male,physics
male,literature
male,literature
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,chemistry
male,chemistry
male,peace
male,physics
male,economics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,physics
male,literature
male,literature
male,literature
male,literature
male,peace
male,peace
male,chemistry
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,medicine
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,chemistry
male,chemistry
male,medicine
male,physics
male,physics
male,physics
male,chemistry
male,medicine
male,medicine
male,physics
male,chemistry
male,chemistry
male,physics
male,chemistry
male,medicine
male,literature
male,literature
male,literature
male,literature
male,literature
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,economics
male,economics
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,literature
male,literature
male,literature
male,literature
male,physics
male,physics
male,economics
male,physics
male,literature
male,chemistry
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,economics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,chemistry
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,physics
male,physics
male,medicine
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,medicine
male,physics
male,chemistry
male,medicine
male,chemistry
male,physics
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,literature
male,literature
male,chemistry
male,literature
male,literature
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,literature
male,literature
male,economics
male,chemistry
male,literature
male,literature
male,chemistry
male,physics
male,physics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,economics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,economics
male,economics
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,medicine
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,chemistry
male,chemistry
male,economics
male,economics
male,economics
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,economics
male,economics
male,economics
male,economics
male,economics
male,physics
male,physics
male,physics
male,physics
male,physics
male,economics
male,economics
male,physics
male,physics
male,economics
male,economics
male,economics
male,economics
male,economics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,physics
male,physics
male,physics
male,physics
male,physics
male,peace
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,peace
male,peace
male,peace
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,peace
male,peace
male,physics
male,physics
male,physics
male,medicine
male,medicine
male,medicine
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,chemistry
male,literature
male,medicine
male,literature
male,literature
male,chemistry
male,chemistry
male,chemistry
male,literature
male,literature
male,chemistry
male,medicine
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,physics
male,chemistry
male,physics
male,literature
male,physics
male,chemistry
male,literature
male,physics
male,physics
male,physics
male,physics
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,chemistry
male,medicine
male,medicine
male,medicine
male,medicine
male,medicine
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,literature
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
male,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
org,peace
